Date,Close,Hour
2021-11-15,0.2581,17
2021-11-15,0.2576,18
2021-11-15,0.259,19
2021-11-15,0.2573,20
2021-11-15,0.2586,21
2021-11-15,0.2581,22
2021-11-15,0.2566,23
2021-11-16,0.2515,0
2021-11-16,0.2516,1
2021-11-16,0.2492,2
2021-11-16,0.2466,3
2021-11-16,0.248,4
2021-11-16,0.2475,5
2021-11-16,0.2471,6
2021-11-16,0.2462,7
2021-11-16,0.2458,8
2021-11-16,0.2388,9
2021-11-16,0.2373,10
2021-11-16,0.24,11
2021-11-16,0.2371,12
2021-11-16,0.2401,13
2021-11-16,0.2433,14
2021-11-16,0.2409,15
2021-11-16,0.2413,16
2021-11-16,0.2398,17
2021-11-16,0.238,18
2021-11-16,0.2387,19
2021-11-16,0.2356,20
2021-11-16,0.239,21
2021-11-16,0.2395,22
2021-11-16,0.2365,23
2021-11-17,0.2353,0
2021-11-17,0.2343,1
2021-11-17,0.2331,2
2021-11-17,0.2322,3
2021-11-17,0.2339,4
2021-11-17,0.235,5
2021-11-17,0.2348,6
2021-11-17,0.2369,7
2021-11-17,0.2359,8
2021-11-17,0.2332,9
2021-11-17,0.239,10
2021-11-17,0.2395,11
2021-11-17,0.2391,12
2021-11-17,0.2383,13
2021-11-17,0.2352,14
2021-11-17,0.2364,15
2021-11-17,0.2387,16
2021-11-17,0.2377,17
2021-11-17,0.2374,18
2021-11-17,0.2355,19
2021-11-17,0.2374,20
2021-11-17,0.2365,21
2021-11-17,0.236,22
2021-11-17,0.2374,23
2021-11-18,0.2396,0
2021-11-18,0.2393,1
2021-11-18,0.2404,2
2021-11-18,0.2372,3
2021-11-18,0.2349,4
2021-11-18,0.2345,5
2021-11-18,0.2342,6
2021-11-18,0.2337,7
2021-11-18,0.2326,8
2021-11-18,0.2305,9
2021-11-18,0.2327,10
2021-11-18,0.2302,11
2021-11-18,0.2298,12
2021-11-18,0.2288,13
2021-11-18,0.2269,14
2021-11-18,0.224,15
2021-11-18,0.2207,16
2021-11-18,0.2237,17
2021-11-18,0.2269,18
2021-11-18,0.2265,19
2021-11-18,0.2256,20
2021-11-18,0.223,21
2021-11-18,0.2204,22
2021-11-18,0.2208,23
2021-11-19,0.2242,0
2021-11-19,0.2206,1
2021-11-19,0.2167,2
2021-11-19,0.218,3
2021-11-19,0.221,4
2021-11-19,0.2226,5
2021-11-19,0.2219,6
